x,psi0,psi1,psi2
4.67337e-10,-0.0745452,0.0990664,0.0571083
4.77387e-10,-0.0735002,0.0993826,0.060879
4.87437e-10,-0.0724372,0.0996017,0.0645159
4.97487e-10,-0.0713565,0.0997235,0.068011
5.07538e-10,-0.0702584,0.0997479,0.0713565
5.17588e-10,-0.0691431,0.0996748,0.0745452
5.27638e-10,-0.068011,0.0995043,0.0775701
5.37688e-10,-0.0668622,0.0992366,0.0804244
5.47739e-10,-0.0656971,0.0988719,0.0831019
5.57789e-10,-0.0645159,0.0984106,0.0855968
5.67839e-10,-0.063319,0.0978532,0.0879035
5.77889e-10,-0.0621066,0.0972002,0.0900169
5.8794e-10,-0.060879,0.0964521,0.0919325
5.9799e-10,-0.0596366,0.0956099,0.093646
6.0804e-10,-0.0583796,0.0946742,0.0951537
6.1809e-10,-0.0571083,0.093646,0.0964521
6.28141e-10,-0.0558231,0.0925263,0.0975386
6.38191e-10,-0.0545242,0.0913163,0.0984106
6.48241e-10,-0.0532121,0.0900169,0.0990664
6.58291e-10,-0.0518869,0.0886297,0.0995043
6.68342e-10,-0.050549,0.0871558,0.0997235
6.78392e-10,-0.0491988,0.0855968,0.0997235
6.88442e-10,-0.0478366,0.0839541,0.0995043
6.98492e-10,-0.0464627,0.0822294,0.0990664
7.08543e-10,-0.0450775,0.0804244,0.0984106
7.18593e-10,-0.0436812,0.0785408,0.0975386
7.28643e-10,-0.0422743,0.0765804,0.0964521
7.38693e-10,-0.040857,0.0745452,0.0951537
7.48744e-10,-0.0394298,0.0724372,0.093646
7.58794e-10,-0.0379929,0.0702584,0.0919325
7.68844e-10,-0.0365468,0.068011,0.0900169
7.78894e-10,-0.0350917,0.0656971,0.0879035
7.88945e-10,-0.033628,0.063319,0.0855968
7.98995e-10,-0.0321561,0.060879,0.0831019
8.09045e-10,-0.0306764,0.0583796,0.0804244
8.19095e-10,-0.0291892,0.0558231,0.0775701
8.29146e-10,-0.0276948,0.0532121,0.0745452
8.39196e-10,-0.0261937,0.050549,0.0713565
8.49246e-10,-0.0246862,0.0478366,0.068011
8.59296e-10,-0.0231727,0.0450775,0.0645159
8.69347e-10,-0.0216535,0.0422743,0.060879
8.79397e-10,-0.020129,0.0394298,0.0571083
8.89447e-10,-0.0185996,0.0365468,0.0532121
8.99497e-10,-0.0170656,0.033628,0.0491988
9.09548e-10,-0.0155275,0.0306764,0.0450775
9.19598e-10,-0.0139856,0.0276948,0.040857
9.29648e-10,-0.0124402,0.0246862,0.0365468
9.39698e-10,-0.0108919,0.0216535,0.0321561
9.49749e-10,-0.00934083,0.0185996,0.0276948
9.59799e-10,-0.00778751,0.0155275,0.0231727
9.69849e-10,-0.00623229,0.0124402,0.0185996
9.79899e-10,-0.00467555,0.00934083,0.0139856
9.8995e-10,-0.00311767,0.00623229,0.00934083
1e-09,-0.00155903,0.00311767,0.00467555
